1800000,東京都,武蔵野市,,
1800001,東京都,武蔵野市,,吉祥寺北町
1800002,東京都,武蔵野市,,吉祥寺東町
1800003,東京都,武蔵野市,,吉祥寺南町
1800004,東京都,武蔵野市,,吉祥寺本町
1800005,東京都,武蔵野市,,御殿山
1800006,東京都,武蔵野市,,中町
1800011,東京都,武蔵野市,,八幡町
1800012,東京都,武蔵野市,,緑町
1800013,東京都,武蔵野市,,西久保
1800014,東京都,武蔵野市,,関前
1800021,東京都,武蔵野市,,桜堤
1800022,東京都,武蔵野市,,境
1800023,東京都,武蔵野市,,境南町
1808505,東京都,武蔵野市,,吉祥寺本町2-16-3
1808508,東京都,武蔵野市,,吉祥寺本町2-6-8
1808517,東京都,武蔵野市,,吉祥寺本町1-17-12吉祥寺永楽ビル3階
1808519,東京都,武蔵野市,,吉祥寺本町2-3-1
1808520,東京都,武蔵野市,,吉祥寺本町37012
1808522,東京都,武蔵野市,,吉祥寺本町3-27-1
1808527,東京都,武蔵野市,,吉祥寺本町2-34-9ヴェルメゾン本町303号
1808531,東京都,武蔵野市,,中町1-20-8
1808533,東京都,武蔵野市,,中町2-4-5
1808538,東京都,武蔵野市,,中町1-17-3-6．モンテローザ三鷹本社ビル
1808566,東京都,武蔵野市,,吉祥寺東町3-3-7
1808571,東京都,武蔵野市,,西久保1-6-27
1808577,東京都,武蔵野市,,西久保1-6-24
1808580,東京都,武蔵野市,,西久保1-25-8
1808602,東京都,武蔵野市,,境南町1-7-1
1808608,東京都,武蔵野市,,西久保1-25-8第2ビル3F
1808610,東京都,武蔵野市,,境南町1-26-1
1808611,東京都,武蔵野市,,境南町5-1-21
1808618,東京都,武蔵野市,,境南町1-26-33
1808629,東京都,武蔵野市,,境5-8
1808633,東京都,武蔵野市,,吉祥寺北町3-3-1
1808750,東京都,武蔵野市,,中町2-9-32
1808777,東京都,武蔵野市,,緑町2-2-28
